131

 [0] APP
 2.0.0.0:0 [0] APP
 3.0.0.0:0 [0] APP
 4.0.0.0:0 [0] APP
 5.0.0.0:0 [0] APP
 6.0.0.0:0 [0] APP
 7.0.0.0:0 [0] APP
 8.0.0.0:0 [0] APP
 9.0.0.0:0 [0] APP
 10.0.0.0:0 [0] APP
 4.0.0.0:0 [0] Message JOINREQ sent to 1:0
 3.0.0.0:0 [0] Message JOINREQ sent to 1:0
 2.0.0.0:0 [0] Message JOINREQ sent to 1:0
 1.0.0.0:0 [0] Starting up group...
 8.0.0.0:0 [1] Message JOINREQ sent to 1:0
 7.0.0.0:0 [1] Message JOINREQ sent to 1:0
 6.0.0.0:0 [1] Message JOINREQ sent to 1:0
 5.0.0.0:0 [1] Message JOINREQ sent to 1:0
 1.0.0.0:0 [1] Node 2.0.0.0:0 joined at time 1
 1.0.0.0:0 [1] Node 3.0.0.0:0 joined at time 1
 1.0.0.0:0 [1] Node 4.0.0.0:0 joined at time 1
 10.0.0.0:0 [2] Message JOINREQ sent to 1:0
 9.0.0.0:0 [2] Message JOINREQ sent to 1:0
 4.0.0.0:0 [2] Node 1.0.0.0:0 joined at time 2
 4.0.0.0:0 [2] Node 2.0.0.0:0 joined at time 2
 4.0.0.0:0 [2] Node 3.0.0.0:0 joined at time 2
 3.0.0.0:0 [2] Node 1.0.0.0:0 joined at time 2
 3.0.0.0:0 [2] Node 2.0.0.0:0 joined at time 2
 2.0.0.0:0 [2] Node 1.0.0.0:0 joined at time 2
 2.0.0.0:0 [2] Node 3.0.0.0:0 joined at time 2
 2.0.0.0:0 [2] Node 4.0.0.0:0 joined at time 2
 1.0.0.0:0 [2] Node 5.0.0.0:0 joined at time 2
 1.0.0.0:0 [2] Node 6.0.0.0:0 joined at time 2
 1.0.0.0:0 [2] Node 7.0.0.0:0 joined at time 2
 1.0.0.0:0 [2] Node 8.0.0.0:0 joined at time 2
 8.0.0.0:0 [3] Node 1.0.0.0:0 joined at time 3
 8.0.0.0:0 [3] Node 2.0.0.0:0 joined at time 3
 8.0.0.0:0 [3] Node 3.0.0.0:0 joined at time 3
 8.0.0.0:0 [3] Node 4.0.0.0:0 joined at time 3
 8.0.0.0:0 [3] Node 5.0.0.0:0 joined at time 3
 8.0.0.0:0 [3] Node 6.0.0.0:0 joined at time 3
 8.0.0.0:0 [3] Node 7.0.0.0:0 joined at time 3
 7.0.0.0:0 [3] Node 1.0.0.0:0 joined at time 3
